"RTL_STORE_CD","RTL_FIPS_COUNTY_CD","STATE_CD","RTL_FIPS_COUNTY_DSC","CUSTCOL_57","RTL_CITY_DSC","RTL_PREMISE_TYPE_CD","RTL_PREMISE_TYPE_DSC","RTL_CHANNEL_CD","RTL_CHANNEL_DSC","RTL_SUBCHANNEL_CD","RTL_SUBCHANNEL_DSC","RTL_BEER_FLAG","RTL_LIQUOR_FLG","WJXBFS1"
"100386405","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",422.5
"100756979","025","UT","KANE","49025","KANAB","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",29
"100111708","011","UT","DAVIS","49011","BOUNTIFUL","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",85.5
"105613714","019","UT","GRAND","49019","MOAB","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","N",23
"100462794","057","UT","WEBER","49057","OGDEN","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",92.75
"105525353","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",9
"103639765","035","UT","SALT LAKE","49035","SOUTH JORDAN","OFF","OFF PREMISE","09","EXTENDED MASTER OFF-PREMISE","X","OTHER OFF-PREMISE","N","N",54.8889
"101893338","035","UT","SALT LAKE","49035","SANDY","OFF","OFF PREMISE","03","DRUG","3","CONVENTIONAL DRUG","Y","N",10
"105604655","055","UT","WAYNE","49055","TORREY","ON","ON PREMISE","50","DINING","4","POLISHED CASUAL","Y","Y",11
"103681701","049","UT","UTAH","49049","LEHI","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",66.7499
"107421553","005","UT","CACHE","49005","LOGAN","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",197.3333
"301794449","035","UT","SALT LAKE","49035","DRAPER","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",45.9167
"105528696","049","UT","UTAH","49049","PROVO","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",4
"200685708","053","UT","WASHINGTON","49053","ST GEORGE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",75.3333
"207458964","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","51","BAR/NIGHTCLUB","1","NEIGHBORHOOD BAR","Y","Y",42.1667
"105546086","035","UT","SALT LAKE","49035","WEST JORDAN","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","N",67
"102051864","057","UT","WEBER","49057","OGDEN","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",13
"102191370","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",43
"205623602","029","UT","MORGAN","49029","MORGAN","ON","ON PREMISE","51","BAR/NIGHTCLUB","1","NEIGHBORHOOD BAR","Y","N",2
"101989563","035","UT","SALT LAKE","49035","MAGNA","OFF","OFF PREMISE","09","EXTENDED MASTER OFF-PREMISE","Q","RESIDENTIAL ADDRESS","N","N",1
"200691243","013","UT","DUCHESNE","49013","ROOSEVELT","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",17
"107475561","049","UT","UTAH","49049","AMERICAN FORK","ON","ON PREMISE","50","DINING","6","FAST CASUAL","Y","N",2
"105611828","051","UT","WASATCH","49051","MIDWAY","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","N",5
"101532569","049","UT","UTAH","49049","PLEASANT GROVE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",273.5001
"105627260","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","51","BAR/NIGHTCLUB","2","CASUAL NIGHTCLUB","Y","Y",66
"100187336","005","UT","CACHE","49005","SMITHFIELD","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",43.5
"100187418","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",213.1665
"100112113","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",34.7499
"100171042","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",117.5
"100301277","035","UT","SALT LAKE","49035","MAGNA","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",250.25
"100390273","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",89.9166
"100317152","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",831.5001
"101548140","047","UT","UINTAH","49047","VERNAL","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",9
"101734633","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","51","BAR/NIGHTCLUB","1","NEIGHBORHOOD BAR","Y","Y",22
"101809388","049","UT","UTAH","49049","CEDAR VALLEY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",9
"100790193","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","05","GROCERY","6","SUPERCENTER","Y","N",123.25
"102490549","035","UT","SALT LAKE","49035","SANDY","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",52.7497
"107329467","049","UT","UTAH","49049","PLEASANT GROVE","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",163.7501
"100526126","015","UT","EMERY","49015","GREEN RIVER","OFF","OFF PREMISE","05","GROCERY","4","SUPERETTE","Y","N",35
"107476370","005","UT","CACHE","49005","LOGAN","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",140.8333
"101430719","011","UT","DAVIS","49011","CLEARFIELD","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",126
"103822401","049","UT","UTAH","49049","LEHI","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",22
"100756938","057","UT","WEBER","49057","ROY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",108.4167
"100345057","057","UT","WEBER","49057","OGDEN","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",482.9165
"100487943","035","UT","SALT LAKE","49035","SOUTH JORDAN","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",155.5001
"105624575","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","51","BAR/NIGHTCLUB","1","NEIGHBORHOOD BAR","Y","Y",13
"100390319","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",69.5
"100317159","035","UT","SALT LAKE","49035","SALT LAKE CITY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",767.6666
"103572642","057","UT","WEBER","49057","OGDEN","ON","ON PREMISE","51","BAR/NIGHTCLUB","1","NEIGHBORHOOD BAR","Y","Y",8
"101608484","051","UT","WASATCH","49051","MIDWAY","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",96
"105621399","003","UT","BOX ELDER","49003","CORINNE","ON","ON PREMISE","51","BAR/NIGHTCLUB","1","NEIGHBORHOOD BAR","Y","Y",5
"107308425","049","UT","UTAH","49049","PROVO","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",22
"107194648","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",52
"205605765","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",40.5
"300112323","057","UT","WEBER","49057","OGDEN","OFF","OFF PREMISE","05","GROCERY","5","SUPERMARKET-CONVENTIONAL","Y","N",171
"107159875","043","UT","SUMMIT","49043","PARK CITY","ON","ON PREMISE","51","BAR/NIGHTCLUB","3","SPORTS BAR","Y","Y",10
"102543173","049","UT","UTAH","49049","OREM","OFF","OFF PREMISE","05","GROCERY","4","SUPERETTE","Y","N",219.9167
"101974264","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","N",20
"200685686","015","UT","EMERY","49015","HUNTINGTON","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",24
"107072323","051","UT","WASATCH","49051","HEBER CITY","ON","ON PREMISE","53","RECREATION","2","GOLF/COUNTRY CLUB","Y","Y",5
"101415024","043","UT","SUMMIT","49043","PARK CITY","OFF","OFF PREMISE","02","LIQUOR","2","CONVENTIONAL LIQUOR","Y","Y",494.6667
"100635629","039","UT","SANPETE","49039","MOUNT PLEASANT","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",9
"105607965","043","UT","SUMMIT","49043","PARK CITY","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",7
"101740611","013","UT","DUCHESNE","49013","DUCHESNE","OFF","OFF PREMISE","07","CONVENIENCE STORE","7","CONVENTIONAL CONVENIENCE","Y","N",32
"102254537","057","UT","WEBER","49057","OGDEN","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",4
"105627966","035","UT","SALT LAKE","49035","SANDY","ON","ON PREMISE","52","LODGING","1","FULL SERVICE LODGING","Y","Y",2
"100705208","035","UT","SALT LAKE","49035","SALT LAKE CITY","ON","ON PREMISE","50","DINING","2","CASUAL DINING","Y","Y",1
